FUNCTION                                                         CALLS        %      TIME  [uS / CALLS]
--------                                                         -----  -------      ----  [----------]
vordb_pb:d_field_GetRequest_key/6                               612952     0.39    153420  [      0.25]
proplists:get_value/3                                          1532122     0.39    155054  [      0.10]
vordb_pb:decode_msg/3                                           766061     0.40    156040  [      0.20]
erlang:port_control/3                                           766381     0.41    160848  [      0.21]
erlang:term_to_binary/1                                         153109     0.41    162793  [      1.06]
vordb_ring_manager:key_partition/1                              766061     0.42    165041  [      0.22]
proplists:get_value/2                                          1532122     0.42    165489  [      0.11]
maps:put/3                                                      153109     0.42    165731  [      1.08]
vordb_cache:get_lww/2                                           612952     0.42    166381  [      0.27]
vordb_coordinator:do_read/2                                     612952     0.43    171152  [      0.28]
persistent_term:get/2                                          1379013     0.44    172274  [      0.12]
vordb_pb:e_type_string/3                                        612952     0.44    172400  [      0.28]
vordb_pb:encode_msg_Response/3                                  766061     0.44    174046  [      0.23]
gen_tcp:recv/3                                                  766141     0.44    174456  [      0.23]
vordb_metrics:handle_request_stop/4                             766061     0.44    175307  [      0.23]
erlang:port_command/3                                           766061     0.46    179711  [      0.23]
gen_tcp:send/2                                                  766061     0.46    182589  [      0.24]
erts_dirty_process_signal_handler:msg_loop/0                    306542     0.47    183706  [      0.60]
'Elixir.Vor.Agent.KvStore':handle_call/3                        153109     0.47    186412  [      1.22]
binary:copy/1                                                   919170     0.48    189162  [      0.21]
vordb_tcp:dispatch/1                                            766061     0.48    191204  [      0.25]
erlang:port_get_data/1                                         1532282     0.50    195755  [      0.13]
vordb_pb:encode_msg/3                                           766061     0.51    202908  [      0.26]
erlang:list_to_atom/1                                           612952     0.55    215708  [      0.35]
vordb_ring_manager:is_local/1                                   766061     0.55    216104  [      0.28]
vordb_coordinator:read_local/3                                  612952     0.56    221796  [      0.36]
erlang:term_to_binary/2                                         766061     0.56    222012  [      0.29]
prim_inet:async_recv/3                                          766141     0.57    226286  [      0.30]
vordb_metrics:record_histogram/3                                766061     0.61    241266  [      0.31]
telemetry_ets:list_for_event/2                                 1379013     0.62    242950  [      0.18]
telemetry:execute/3                                            1379013     0.62    243234  [      0.18]
lists:join_prepend/2                                           1838856     0.65    255856  [      0.14]
ets:insert/2                                                    306320     0.65    256726  [      0.84]
erlang:monotonic_time/1                                        1532122     0.67    263300  [      0.17]
vordb_pb:dfp_read_field_def_Request/7                          2298183     0.68    269509  [      0.12]
inet_db:lookup_socket/1                                        1532282     0.68    269525  [      0.18]
prim_inet:send/3                                                766061     0.69    271512  [      0.35]
vordb_coordinator:read/2                                        612952     0.69    273603  [      0.45]
telemetry_handler_table:list_for_event/1                       1379013     0.73    288718  [      0.21]
vordb_pb:e_varint/2                                            3379349     0.76    298887  [      0.09]
persistent_term:get/1                                          1838340     0.77    302058  [      0.16]
vordb_pb:encode_msg_Response/2                                  766061     0.77    305061  [      0.40]
vordb_tcp:handle_request/1                                      766061     0.78    307409  [      0.40]
vordb_tcp:client_loop/1                                         766141     0.79    310696  [      0.41]
vordb_metrics:handle_counter_event/4                            612952     0.79    310913  [      0.51]
erlang:monitor/2                                                766062     0.79    311281  [      0.41]
prim_inet:send/4                                                766061     0.79    311489  [      0.41]
erlang:atom_to_list/1                                          1838856     0.80    313968  [      0.17]
telemetry:do_execute/4                                         2758026     0.91    359873  [      0.13]
gen:reply/2                                                     306218     0.92    363989  [      1.19]
erlang:send/3                                                   306218     1.01    398429  [      1.30]
vordb_metrics:'-handle_counter_event/4-lc$^0/1-0-'/1           2451808     1.22    482451  [      0.20]
prim_inet:recv0/3                                               766141     1.32    521140  [      0.68]
vordb_metrics:inc_counter/2                                    3677196     1.49    589283  [      0.16]
erlang:demonitor/2                                             1072280     1.52    600905  [      0.56]
gen:do_call/4                                                   306218     1.87    735391  [      2.40]
ets:lookup/2                                                   2298283     2.57   1014639  [      0.44]
ets:update_counter/3                                           3677196     5.76   2269766  [      0.62]
lists:do_flatten/2                                            18990047     6.12   2413531  [      0.13]
rocksdb:put/5                                                   153109     6.38   2516716  [     16.44]
erts_internal:port_control/3                                    766381     9.46   3727811  [      4.86]
erts_internal:port_command/3                                    766062    13.94   5494614  [      7.17]
-----------------------------------------------------------  ---------  -------  --------  [----------]
Total:                                                       124714588  100.00%  39426516  [      0.32]
